complaint_id,complaint_text,category,location,timestamp,priority,department,status,resolution_days
GR000001,Dark road at night due to non-functional lights Large street light problem reported by citizens in North District.. Reference ID: 4657.,Street Light,North District,2023-03-13 23:00:00,Medium,Public Works,Resolved,35.0
GR000002,Street lighting system failure in the area Please check the street light issue at Downtown.. Reference ID: 1488.,Street Light,Downtown,2023-02-17 06:00:00,Medium,Municipal Services,Resolved,36.0
GR000003,Water pipeline burst causing shortage Large water supply problem reported by citizens in Commercial Area.. Reference ID: 8359.,Water Supply,Commercial Area,2023-10-29 08:00:00,Medium,Public Works,Open,22.0
GR000004,Electricity bill overcharged without reason The electricity status in East Zone is critical.. Reference ID: 2674.,Electricity,East Zone,2023-02-17 12:00:00,High,Public Works,In Progress,39.0
GR000005,Faulty electrical connection creating hazard Concern regarding electricity on the main street of North District.. Reference ID: 3045.,Electricity,North District,2023-07-13 02:00:00,High,Police,Resolved,56.0
GR000006,Loud music from nearby establishment Please check the noise pollution issue at Downtown.. Reference ID: 1750.,Noise Pollution,Downtown,2023-12-05 07:00:00,Medium,Police,Open,56.0
GR000007,Dark road at night due to non-functional lights Immediate attention needed for street light near Industrial Zone.. Reference ID: 6977.,Street Light,Industrial Zone,2023-03-25 11:00:00,Medium,Police,Open,45.0
GR000008,Multiple broken street lights on the avenue Concern regarding street light on the main street of Downtown.. Reference ID: 5010.,Street Light,Downtown,2023-03-25 14:00:00,Low,Utilities,In Progress,41.0
GR000009,Inadequate police patrolling Please check the community safety issue at West Zone.. Reference ID: 4752.,Community Safety,West Zone,2023-01-17 10:00:00,High,Utilities,In Progress,
GR000010,Signal timing causes congestion Immediate attention needed for traffic light near Suburb Area.. Reference ID: 7482.,Traffic Light,Suburb Area,2023-11-26 14:00:00,Medium,Municipal Services,In Progress,
GR000011,Inadequate police patrolling Concern regarding community safety on the main street of Commercial Area.. Reference ID: 8019.,Community Safety,Commercial Area,2023-10-26 12:00:00,High,Police,Open,9.0
GR000012,Frequent theft in the area Please check the community safety issue at Residential Area.. Reference ID: 2796.,Community Safety,Residential Area,2023-03-20 20:00:00,High,Municipal Services,Resolved,5.0
GR000013,Parking violation enforcement needed Concern regarding parking on the main street of Industrial Zone.. Reference ID: 5119.,Parking,Industrial Zone,2023-10-11 00:00:00,Medium,Public Works,Resolved,49.0
GR000014,Frequent power outages affecting business The electricity status in Suburb Area is critical.. Reference ID: 8123.,Electricity,Suburb Area,2023-03-22 14:00:00,High,Public Works,Resolved,17.0
GR000015,Frequent theft in the area The community safety status in East Zone is critical.. Reference ID: 9317.,Community Safety,East Zone,2023-11-08 06:00:00,High,Municipal Services,In Progress,35.0
GR000016,Inadequate police patrolling Immediate attention needed for community safety near North District.. Reference ID: 1319.,Community Safety,North District,2023-02-27 11:00:00,High,Police,Open,
GR000017,Traffic light not functioning properly Immediate attention needed for traffic light near South District.. Reference ID: 2133.,Traffic Light,South District,2023-09-30 04:00:00,Medium,Municipal Services,Resolved,36.0
GR000018,Sanitation workers absent for a week Large sanitation problem reported by citizens in Central City.. Reference ID: 9835.,Sanitation,Central City,2023-12-20 06:00:00,Medium,Police,In Progress,42.0
GR000019,Industrial noise exceeding permissible levels Please check the noise pollution issue at Residential Area.. Reference ID: 5061.,Noise Pollution,Residential Area,2023-04-26 02:00:00,Medium,Police,Open,15.0
GR000020,Traffic light not functioning properly Please check the traffic light issue at West Zone.. Reference ID: 1964.,Traffic Light,West Zone,2023-04-28 02:00:00,Medium,Public Works,In Progress,
