complaint_id,complaint_text,category,location,timestamp,priority,department,status,resolution_days
GR000001,Dark road at night due to non-functional lights,Street Light,North District,2023-03-13 23:00:00,High,Public Works,Resolved,2.0
GR000002,Multiple broken street lights on the avenue,Street Light,West Zone,2023-01-14 17:00:00,High,Utilities,Open,18.0
GR000003,New potholes appeared after rain,Pothole,East Zone,2023-03-21 06:00:00,Low,Police,Open,
GR000004,Dark road at night due to non-functional lights,Street Light,Suburb Area,2023-01-23 23:00:00,Medium,Public Works,In Progress,
GR000005,No electricity for one week,Electricity,Downtown,2023-12-27 02:00:00,High,Municipal Services,In Progress,55.0
GR000006,Water pipeline burst causing shortage,Water Supply,South District,2023-11-22 11:00:00,High,Police,Open,45.0
GR000007,Multiple broken street lights on the avenue,Street Light,Downtown,2023-05-06 05:00:00,Medium,Police,Resolved,15.0
GR000008,Loud music from nearby establishment - Incident 7. Details: 202,Noise Pollution,North District,2023-06-11 12:00:00,Medium,Municipal Services,Resolved,21.0
GR000009,Water pipeline burst causing shortage - Incident 8. Details: 535,Water Supply,Residential Area,2023-11-26 14:00:00,High,Municipal Services,Open,35.0
GR000010,Faulty electrical connection creating hazard - Incident 9. Details: 960,Electricity,Downtown,2023-07-24 11:00:00,High,Municipal Services,Open,6.0
GR000011,Multiple potholes near the market making driving dangerous,Pothole,South District,2023-12-15 13:00:00,High,Public Works,In Progress,30.0
GR000012,Frequent theft in the area,Community Safety,Central City,2023-02-28 21:00:00,Low,Police,Resolved,19.0
GR000013,Parking violation enforcement needed,Parking,East Zone,2023-05-15 16:00:00,Medium,Municipal Services,Resolved,56.0
GR000014,Electricity bill overcharged without reason,Electricity,Commercial Area,2023-03-24 17:00:00,Low,Public Works,Resolved,2.0
GR000015,Dark road at night due to non-functional lights,Street Light,Suburb Area,2023-05-04 18:00:00,Low,Public Works,Resolved,5.0
GR000016,Stray dogs roaming streets dangerously,Community Safety,East Zone,2023-10-09 05:00:00,High,Police,Resolved,28.0
GR000017,Low water pressure affecting households - Incident 16. Details: 370,Water Supply,Commercial Area,2023-07-24 21:00:00,Low,Utilities,Resolved,16.0
GR000018,Contaminated water from municipal supply,Water Supply,South District,2023-10-11 07:00:00,Medium,Public Works,Open,4.0
GR000019,No water supply for 5 days - Incident 18. Details: 206,Water Supply,South District,2023-02-06 16:00:00,Medium,Utilities,Open,47.0
GR000020,No coordination between signals,Traffic Light,Downtown,2023-08-31 13:00:00,High,Public Works,Resolved,28.0
GR000021,Insufficient parking spaces in market,Parking,Residential Area,2023-11-27 03:00:00,High,Police,Open,
GR000022,Water pipeline burst causing shortage,Water Supply,Commercial Area,2023-04-04 08:00:00,Medium,Public Works,In Progress,55.0
GR000023,Frequent theft in the area,Community Safety,South District,2023-10-04 00:00:00,Low,Municipal Services,Open,31.0
GR000024,No water supply for 5 days,Water Supply,Industrial Zone,2023-01-02 12:00:00,Medium,Utilities,In Progress,47.0
GR000025,Stray dogs roaming streets dangerously,Community Safety,Residential Area,2023-04-22 01:00:00,High,Public Works,Resolved,4.0
GR000026,Signal timing causes congestion,Traffic Light,Residential Area,2023-09-18 02:00:00,Low,Public Works,Resolved,
GR000027,No water supply for 5 days - Incident 26. Details: 171,Water Supply,Industrial Zone,2023-10-19 07:00:00,Medium,Public Works,Resolved,
GR000028,Traffic light stuck on red - Incident 27. Details: 800,Traffic Light,Downtown,2023-04-15 21:00:00,Low,Municipal Services,In Progress,43.0
GR000029,No electricity for one week - Incident 28. Details: 120,Electricity,Residential Area,2023-02-07 00:00:00,Medium,Public Works,Open,33.0
GR000030,No electricity for one week - Incident 29. Details: 714,Electricity,East Zone,2023-05-06 11:00:00,Medium,Utilities,Resolved,40.0
GR000031,Inadequate police patrolling - Incident 30. Details: 221,Community Safety,North District,2023-02-23 04:00:00,Medium,Public Works,Resolved,18.0
GR000032,Electricity bill overcharged without reason - Incident 31. Details: 566,Electricity,Downtown,2023-04-15 21:00:00,Low,Police,Resolved,58.0
